customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_contract,account_paperlessbilling,account_paymentmethod,account_charges_monthly,account_charges_total,cuentas_diarias
0447-bemng,Yes,Female,0,Yes,No,48,No,No phone service,Dsl,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,2145.0,1.51
0447-rxsgd,No,Male,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.65,2404.85,3.3216666666666668
0454-okrct,No,Male,0,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),80.6,2651.1,2.6866666666666665
0455-entcr,No,Male,0,Yes,No,66,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,85.25,5538.35,2.841666666666667
0455-xfass,No,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,200.2,2.3183333333333334
0458-heuzg,No,Female,0,No,No,13,No,No phone service,Dsl,No,No,Yes,Yes,No,No,Two year,No,Mailed check,35.4,450.4,1.18
0459-spzhj,No,Male,0,Yes,Yes,63,Yes,Yes,Dsl,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),83.5,5435.0,2.783333333333333
0461-cvkmu,Yes,Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,83.8,1900.25,2.7933333333333334
0463-txoak,No,Male,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.6,1334.5,0.8533333333333334
0463-wzzko,No,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.75,67.1,0.6916666666666667
0463-zsdnt,No,Male,0,No,No,10,Yes,No,Dsl,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.75,503.25,1.8916666666666666
0464-wjtko,No,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.1,1460.85,0.67
0468-yrpxn,No,Male,0,No,No,29,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.8,2807.1,3.2933333333333334
0471-arvmx,No,Female,1,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.85,6312.9,3.4949999999999997
0471-lvhgk,Yes,Male,0,Yes,No,41,Yes,Yes,Dsl,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,73.0,3001.2,2.433333333333333
0475-rijep,Yes,Male,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,77.85,3365.85,2.5949999999999998
0479-hmswa,No,Female,0,No,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,105.45,2715.3,3.515
0480-bixde,No,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.8,1743.05,3.2266666666666666
0480-kyjva,No,Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.25,1784.5,0.8083333333333333
0481-sumcb,No,Female,1,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),102.15,4735.35,3.4050000000000002
0484-ffvbj,No,Male,0,No,No,32,Yes,No,Dsl,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),64.85,2010.95,2.1616666666666666
0484-jpbru,No,Male,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.25,996.45,0.8416666666666667
0485-zbsln,No,Male,0,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.75,1715.1,0.825
0486-heczi,Yes,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,3.225
0486-lgcch,No,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,225.75,0.6549999999999999
0487-crlzf,No,Female,0,No,No,49,Yes,No,Dsl,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.45,3721.9,2.481666666666667
0487-rpvum,No,Male,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),99.4,5943.65,3.3133333333333335
0487-vvuvk,No,Male,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.15,477.6,0.6383333333333333
0488-gslfr,Yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.5,69.5,2.316666666666667
0489-wmemg,No,Female,0,No,Yes,23,Yes,No,Dsl,No,No,No,Yes,No,No,One year,Yes,Electronic check,49.45,1119.35,1.6483333333333334
0491-kapqg,No,Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.7,1558.7,2.4566666666666666
0495-rvcbf,Yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.7,79.7,2.6566666666666667
0495-zbngw,Yes,Male,1,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.9,343.95,2.6633333333333336
0496-ahook,No,Male,0,Yes,No,24,Yes,No,Dsl,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.4,1712.9,2.48
0504-hhapi,Yes,Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),88.3,2467.75,2.9433333333333334
0505-spoow,No,Female,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.8,1397.65,0.66
0506-lvngn,Yes,Female,1,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.55,349.65,2.518333333333333
0506-ylvkj,No,Male,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.2,917.45,0.6733333333333333
0508-oolto,No,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.65,135.75,2.3883333333333336
0508-sqwpl,No,Female,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.1,1087.7,0.67
0511-jteoy,Yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.1,71.1,2.3699999999999997
0512-flfdw,No,Female,1,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.5,6029.0,3.35
0513-rbgpe,No,Male,0,Yes,Yes,37,Yes,Yes,Dsl,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),62.8,2278.75,2.0933333333333333
0515-ypmcw,Yes,Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,2.3483333333333336
0516-oohar,No,Male,0,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),100.35,2799.0,3.3449999999999998
0516-qreyc,No,Female,1,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,459.95,0.6766666666666666
0516-uxrmt,No,Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,92.05,5755.8,3.0683333333333334
0516-vrybw,Yes,Female,0,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.15,390.85,0.6716666666666666
0516-wjvxc,Yes,Female,0,No,No,5,Yes,No,Dsl,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.2,308.25,1.8066666666666669
0519-drgti,No,Female,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,442.6,0.6783333333333333
0519-xuzju,Yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.75,70.75,2.3583333333333334
0520-fdvvt,Yes,Male,0,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),102.35,3626.1,3.4116666666666666
0523-vngtf,No,Female,1,No,No,52,No,No phone service,Dsl,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.5,2566.3,1.6833333333333333
0524-iavzo,Yes,Female,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,2624.25,2.8333333333333335
0526-sxdjp,No,Male,0,Yes,No,72,No,No phone service,Dsl,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,1.4033333333333333
0529-onker,Yes,Male,1,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.65,1146.65,2.521666666666667
0530-ijvdb,No,Male,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.6,7882.5,3.82
0531-xbkmm,No,Male,0,No,Yes,66,Yes,Yes,Dsl,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),65.7,4378.9,2.19
0531-zzjwq,No,Male,1,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.0,4052.4,2.466666666666667
0533-bnwkf,Yes,Female,1,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,2.8483333333333336
0533-ucaau,No,Male,1,Yes,No,57,Yes,Yes,Dsl,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),71.1,4140.1,2.3699999999999997
0536-acxip,No,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,109.55,8165.1,3.6516666666666664
0536-bgfmz,No,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.5,563.05,0.6833333333333333
0536-esjep,No,Male,0,Yes,No,54,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.55,4191.45,2.485
0537-qyzzn,No,Male,1,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.85,1857.75,2.6616666666666666
0541-fitgh,No,Female,0,Yes,No,2,Yes,No,Dsl,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,62.15,113.1,2.0716666666666668
0547-hurjb,No,Male,0,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.05,235.8,0.7016666666666667
0549-cycqn,No,Male,1,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),79.6,3974.7,2.6533333333333333
0550-dcxlh,No,Male,0,No,No,13,Yes,No,Dsl,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,73.35,931.55,2.445
0556-fjegu,No,Male,0,No,No,58,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),70.1,4048.95,2.3366666666666664
0557-askvu,No,Female,0,Yes,Yes,18,Yes,No,Dsl,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,1.8133333333333332
0559-ckhus,No,Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.55,521.8,0.6516666666666667
0562-fgdcr,No,Female,0,Yes,Yes,72,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,74.55,5430.65,2.485
0562-hkhml,No,Male,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.9,1626.4,0.7966666666666666
0562-kbdvm,No,Female,0,No,No,70,No,No phone service,Dsl,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),44.6,3058.15,1.4866666666666668
0564-jjhgs,Yes,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.5,829.1,3.183333333333333
0564-muuqk,No,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.5,1916.2,3.183333333333333
0565-iycgt,Yes,Male,0,No,No,69,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),78.6,5356.45,2.6199999999999997
0565-jupyd,No,Male,0,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),104.5,6590.8,3.4833333333333334
0567-ggcac,No,Female,0,No,No,7,Yes,No,Dsl,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,61.4,438.9,2.0466666666666664
0567-xrhcu,No,Female,0,Yes,Yes,69,No,No phone service,Dsl,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),43.95,2960.1,1.465
0568-onfpc,Yes,Male,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.9,135.0,0.8633333333333333
0570-bfqht,No,Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,80.55,653.9,2.685
0572-zjklt,No,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,99.65,4630.2,3.3216666666666668
0575-cuqov,No,Male,1,Yes,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,97.95,5867.0,3.265
0576-wnxxc,Yes,Male,1,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.55,2510.2,3.185
0577-whmev,No,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,90.7,1374.9,3.0233333333333334
0578-skvmf,Yes,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,2.7766666666666664
0580-piqhm,No,Female,0,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),101.6,3930.55,3.3866666666666663
0581-bxbub,No,Female,1,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,72.75,317.75,2.425
0581-mdmpw,No,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.95,2072.75,2.9650000000000003
0582-avcln,No,Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.3,743.05,0.6766666666666666
0584-bjqgz,No,Female,0,No,No,25,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),78.35,1837.9,2.6116666666666664
0585-egdda,No,Male,0,Yes,No,40,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.0,3168.75,2.6666666666666665
0587-dmgbh,Yes,Female,0,No,No,8,Yes,No,Dsl,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.85,365.55,1.6616666666666666
0594-uftul,No,Male,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.85,252.0,0.6616666666666667
0595-itudf,No,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,91.8,5960.5,3.06
0596-bqceq,Yes,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.15,6283.3,3.3383333333333334
0599-xnydo,No,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.8,1540.35,2.3266666666666667
0601-wzhjf,Yes,Male,0,Yes,No,14,No,No phone service,Dsl,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,46.35,667.7,1.5450000000000002
0602-dduml,No,Female,0,No,No,57,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,69.75,3894.4,2.325
0603-olqdc,No,Male,0,No,Yes,12,Yes,No,Dsl,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,69.85,837.5,2.328333333333333
0603-tpmib,No,Female,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.45,1534.05,0.8483333333333333
0604-thjfp,No,Female,0,Yes,Yes,59,Yes,No,Dsl,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),75.95,4542.35,2.5316666666666667
0607-daahe,Yes,Male,0,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.75,1052.35,0.6583333333333333
0607-mvmgc,No,Male,0,Yes,Yes,45,Yes,Yes,Dsl,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),78.75,3600.65,2.625
0608-jdvec,No,Male,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.8,1013.2,0.66
0611-dfxko,Yes,Male,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,89.0,1820.45,2.966666666666667
0612-rtzza,Yes,Female,1,No,No,1,No,No phone service,Dsl,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.25,25.25,0.8416666666666667
0613-wuxum,No,Female,0,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.2,1401.4,0.64
0616-atfgb,Yes,Male,1,Yes,No,1,No,No phone service,Dsl,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.05,25.05,0.8350000000000001
0617-aqnwt,Yes,Female,0,Yes,No,64,No,No phone service,Dsl,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,47.85,3147.5,1.595
0617-fhsgk,Yes,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),75.2,3678.3,2.506666666666667
0618-xwmss,Yes,Male,0,No,Yes,28,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.9,2068.55,2.496666666666667
0619-olyur,No,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),111.9,8071.05,3.73
0620-dlslk,No,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,81.9,1028.9,2.73
0620-xefwh,No,Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.85,84.2,0.6283333333333334
0621-cxbkl,No,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.7,1005.7,0.6233333333333333
0621-hjwxj,No,Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.55,5029.05,2.7183333333333333
0621-jfhol,No,Female,0,No,No,10,No,No phone service,Dsl,No,No,No,Yes,No,No,Two year,Yes,Mailed check,29.6,299.05,0.9866666666666667
0621-tssmu,No,Male,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.95,1126.75,0.6649999999999999
0621-twiem,Yes,Male,0,No,No,10,Yes,No,Dsl,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.55,402.6,1.5183333333333333
0623-ejqeg,No,Male,0,No,No,65,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,93.55,6069.25,3.118333333333333
0623-gdisb,No,Female,0,No,No,1,Yes,No,Dsl,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),48.45,48.45,1.615
0623-iihug,Yes,Female,1,No,No,21,No,No phone service,Dsl,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,1.3966666666666667
0625-afohs,No,Female,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,558.8,0.6733333333333333
0626-qxngv,No,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.15,1776.45,0.8049999999999999
0628-cnqrm,Yes,Male,0,Yes,Yes,22,Yes,No,Dsl,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),67.5,1544.05,2.25
0634-szpqa,Yes,Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.05,2169.8,3.0016666666666665
0635-wkold,No,Male,0,Yes,No,40,Yes,Yes,Dsl,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),70.75,2921.75,2.3583333333333334
0637-kvdlv,Yes,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,162.45,2.55
0637-ubjrp,Yes,Male,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,84.05,1095.3,2.8016666666666667
0637-ylety,Yes,Female,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.6,1555.65,3.1866666666666665
0639-tsiqw,Yes,Female,0,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.95,6886.25,3.4316666666666666
0640-yjtpy,No,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1493.75,0.7
0641-evboj,No,Male,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,82.3,214.4,2.743333333333333
0643-oklrp,Yes,Female,1,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,80.35,3825.85,2.6783333333333332
0644-oqmdk,No,Male,1,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.65,293.85,2.355
0650-bwozn,No,Female,1,No,No,18,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,1359.45,2.4516666666666667
0654-hmshn,Yes,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,104.4,2157.95,3.48
0654-pqkdw,No,Female,0,Yes,Yes,62,Yes,No,Dsl,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),70.75,4263.45,2.3583333333333334
0655-rbdug,Yes,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,3.268333333333333
0655-ydgfj,No,Male,0,No,No,29,Yes,No,Dsl,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),48.95,1323.7,1.6316666666666668
0657-dogum,No,Female,0,Yes,No,48,Yes,Yes,Dsl,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),60.6,2985.25,2.02
0661-kbkpa,No,Male,0,Yes,Yes,53,Yes,Yes,Dsl,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,78.75,3942.45,2.625
0661-kqhnk,No,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.0,105.5,0.6333333333333333
0661-wcqnq,No,Male,0,Yes,No,22,Yes,No,Dsl,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),56.25,1292.2,1.875
0661-xeyan,Yes,Female,1,No,No,1,No,No phone service,Dsl,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.8,25.8,0.86
0665-xhdju,No,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,99.4,7285.7,3.3133333333333335
0666-uxtjo,No,Male,1,Yes,No,34,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.2,2874.45,2.8400000000000003
0667-nsrgi,No,Female,0,Yes,No,48,Yes,Yes,Dsl,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,69.55,3435.6,2.3183333333333334
0668-ogmhd,No,Female,0,Yes,No,21,No,No phone service,Dsl,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,0.95
0670-anmuu,No,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),97.65,6687.85,3.2550000000000003
0670-kdoma,No,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.25,20.25,0.675
0673-iguqo,No,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,20.45,0.6816666666666666
0674-dgmaq,No,Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.5,2970.8,3.1166666666666667
